CRASH TIME (HRS),DATE,DAY,LOCATION,PROBABLE CAUSE(S) OF RTC,ROUTE,VEHICLE CATEGORY,VEHICLE CLASS,Timestamp,month,X    ,Y
1255,03/11/2013,SUN,KM8-OOLO,,OGB-OYO,CAR,COMM,05/02/2013 07:00,3,3.891,7.3997502
245,04/11/2013,MON,KM8-FLYOVER,,OGB-ILN,BUS,COMM.,4/21/2013 5:00,4,3.9082,7.4262199
400,04/11/2013,MON,KM24-IROKO,,IBD-OYO,BUS,COMM.,4/27/2013 16:00,4,3.91593,7.5131602
1330,04/11/2013,MON,KM2-SHARPCORNER,,OGB-OYO,TRK,COMM.,06/05/2013 10:00,4,3.91466,7.5909901
515,05/11/2013,TUE,KM1-AJE IYA,,OGB-OYO,TRL/   MC,COMM/   PVT,06/01/2013 11:00,5,3.9226,7.63765
1244,05/11/2013,TUE,KM3-IDI OSI,,IBD-OYO,CAR/ MC/  MC,PVT,07/01/2013 20:00,5,3.9163499,7.6939998
1842,05/11/2013,TUE,KM5,,IBD-OYO,CAR,GOVT,7/26/2013 18:00,5,3.9225199,7.75137
1730,11/19/2013,TUE,KM8-OOLO VILLAGE,,OGB-OYO,BUS,COMM,1/30/2014 2:00,11,3.9372799,7.83181
840,11/20/2013,WED,KM18-IROKO,,OYO-IBD,BUS,COMM,12/25/2013 0:00,11,3.9438601,7.8669701
220,11/22/2013,FRI,KM2-AFTER FLYOVER,,OGB-ILN,BUS,COMM,12/01/2013 04:00,11,4.0156298,7.9195199
1325,11/27/2013,WED,KM2-AJEGUNLE MKT,,OYO-OGB,TNK/ MC,COM/ PVT,1/21/2014 5:00,11,4.1345401,8.0544004
2300,02/12/2013,MON,KM1-ARINKINKIN,,OGB-OYO,BUS,COMM,5/18/2013 20:00,2,4.2328801,8.1246204
1035,03/12/2013,TUE,KM17-OWEYO VILLAGE,,OYO-OGB,TNK/ BUS,COMM/ COM,4/24/2013 3:00,3,4.31323,8.2669401
1440,03/12/2013,TUE,KM23-MOTUNDE,,OYO-IBD,CAR,PVT,05/11/2013 00:00,3,4.4053702,8.3204603
1235,08/12/2013,SUN,KM19-ELETE VILLAGE,,OYO-OGB,BUS/ CAR,COMM/ PVT,10/02/2013 11:00,8,4.5041399,8.4411001
535,09/12/2013,MON,KM9-ELEKARA,,OYO-IBD,BUS/ TRL,COMM/ COM,10/04/2013 07:00,9,4.2785201,8.20191
1110,12/12/2013,THU,KM19-FIDITI,,OYO-IBD,BUS,PVT,1/27/2014 6:00,12,4.1715999,8.0732603
